Pokedex Number,Species,Type,Buddy Candy Distance (in kilometers),Number of Candies to Evolve,Evolves From,Evolves To,Region,Generation,ExtD
Pokedex #1,Bulbasaur,"Grass, Poison",3,25,,Ivysaur,Kanto,I,
Pokedex #2,Ivysaur,"Grass, Poison",3,100,Bulbasaur,Venusaur,Kanto,I,
Pokedex #3,Venusaur,"Grass, Poison",3,,Ivysaur,,Kanto,I,
Pokedex #4,Charmander,Fire,3,25,,Charmeleon,Kanto,I,
Pokedex #5,Charmeleon,Fire,3,100,Charmander,Charizard,Kanto,I,
Pokedex #6,Charizard,"Fire, Flying",3,,Charmeleon,,Kanto,I,
Pokedex #7,Squirtle,Water,3,25,,Wartortle,Kanto,I,
Pokedex #8,Wartortle,Water,3,100,Squirtle,Blastoise,Kanto,I,
Pokedex #9,Blastoise,Water,3,,Wartortle,,Kanto,I,
Pokedex #10,Caterpie,Bug,1,12,,Metapod,Kanto,I,
Pokedex #11,Metapod,Bug,1,50,Caterpie,Butterfree,Kanto,I,
Pokedex #12,Butterfree,"Bug, Flying",1,,Metapod,,Kanto,I,
Pokedex #13,Weedle,"Bug, Poison",1,12,,Kakuna,Kanto,I,
Pokedex #14,Kakuna,"Bug, Poison",1,50,Weedle,Beedrill,Kanto,I,
Pokedex #15,Beedrill,"Bug, Poison",1,,Kakuna,,Kanto,I,
Pokedex #16,Pidgey,"Normal, Flying",1,12,,Pidgeotto,Kanto,I,
Pokedex #17,Pidgeotto,"Normal, Flying",1,50,Pidgey,Pidgeot,Kanto,I,
Pokedex #18,Pidgeot,"Normal, Flying",1,,Pidgeotto,,Kanto,I,
Pokedex #19,Rattata,Normal,1,25,,Raticate,Kanto,I,
Pokedex #20,Raticate,Normal,1,,Rattata,,Kanto,I,
Pokedex #21,Spearow,"Normal, Flying",1,50,,Fearow,Kanto,I,
Pokedex #22,Fearow,"Normal, Flying",1,,Spearow,,Kanto,I,
Pokedex #23,Ekans,Poison,3,50,,Arbok,Kanto,I,
Pokedex #24,Arbok,Poison,3,,Ekans,,Kanto,I,
Pokedex #25,Pikachu,Electric,1,50,,Raichu,Kanto,I,
Pokedex #26,Raichu,Electric,1,,Pikachu,,Kanto,I,
Pokedex #27,Sandshrew,Ground,3,50,,Sandslash,Kanto,I,
Pokedex #28,Sandslash,Ground,3,,Sandshrew,,Kanto,I,
Pokedex #29,Nidoran♀,Poison,3,25,,Nidorina,Kanto,I,
Pokedex #30,Nidorina,Poison,3,100,Nidoran♀,Nidoqueen,Kanto,I,
Pokedex #31,Nidoqueen,"Poison, Ground",3,,Nidorina,,Kanto,I,
Pokedex #32,Nidoran♂,Poison,3,25,,Nidorino,Kanto,I,
Pokedex #33,Nidorino,Poison,3,100,Nidoran♂,Nidoking,Kanto,I,
Pokedex #34,Nidoking,"Poison, Ground",3,,Nidorino,,Kanto,I,
Pokedex #35,Clefairy,Fairy,1,50,,Clefable,Kanto,I,
Pokedex #36,Clefable,Fairy,1,,Clefairy,,Kanto,I,
Pokedex #37,Vulpix,Fire,3,50,,Ninetales,Kanto,I,
Pokedex #38,Ninetales,Fire,3,,Vulpix,,Kanto,I,
Pokedex #39,Jigglypuff,"Normal, Fairy",1,50,,Wigglytuff,Kanto,I,
Pokedex #40,Wigglytuff,"Normal, Fairy",1,,Jigglypuff,,Kanto,I,
Pokedex #41,Zubat,"Poison, Flying",1,25,,Golbat,Kanto,I,
Pokedex #42,Golbat,"Poison, Flying",1,,Zubat,,Kanto,I,
Pokedex #43,Oddish,"Grass, Poison",3,25,,Gloom,Kanto,I,
Pokedex #44,Gloom,"Grass, Poison",3,100,Oddish,Vileplume,Kanto,I,
Pokedex #45,Vileplume,"Grass, Poison",3,,Gloom,,Kanto,I,
Pokedex #46,Paras,"Bug, Grass",3,50,,,Kanto,I,
Pokedex #47,Parasect,"Bug, Grass",3,,Paras,Parasect,Kanto,I,
Pokedex #48,Venonat,"Bug, Poison",3,50,,Venomoth,Kanto,I,
Pokedex #49,Venomoth,"Bug, Poison",3,,Venonat,,Kanto,I,
Pokedex #50,Diglett,Ground,3,50,,Dugtrio,Kanto,I,
Pokedex #51,Dugtrio,Ground,3,,Diglett,,Kanto,I,
Pokedex #52,Meowth,Normal,3,50,,Persian,Kanto,I,
Pokedex #53,Persian,Normal,3,,Meowth,,Kanto,I,
Pokedex #54,Psyduck,Water,3,50,,Golduck,Kanto,I,
Pokedex #55,Golduck,Water,3,,Psyduck,,Kanto,I,
Pokedex #56,Mankey,Fighting,3,50,,Primeape,Kanto,I,
Pokedex #57,Primeape,Fighting,3,,Mankey,,Kanto,I,
Pokedex #58,Growlithe,Fire,3,50,,Arcanine,Kanto,I,
Pokedex #59,Arcanine,Fire,3,,Growlithe,,Kanto,I,
Pokedex #60,Poliwag,Water,3,25,,Poliwhirl,Kanto,I,
Pokedex #61,Poliwhirl,Water,3,100,Poliwag,Poliwrath,Kanto,I,
Pokedex #62,Poliwrath,"Water, Fighting",3,,Poliwhirl,,Kanto,I,
Pokedex #63,Abra,Psychic,3,25,,Kadabra,Kanto,I,
Pokedex #64,Kadabra,Psychic,3,100,Abra,Alakazam,Kanto,I,
Pokedex #65,Alakazam,Psychic,3,,Kadabra,,Kanto,I,
Pokedex #66,Machop,Fighting,3,25,,Machoke,Kanto,I,
Pokedex #67,Machoke,Fighting,3,100,Machop,Machamp,Kanto,I,
Pokedex #68,Machamp,Fighting,3,,Machoke,,Kanto,I,
Pokedex #69,Bellsprout,"Grass, Poison",3,25,,Weepinbell,Kanto,I,
Pokedex #70,Weepinbell,"Grass, Poison",3,100,Bellsprout,Victreebel,Kanto,I,
Pokedex #71,Victreebel,"Grass, Poison",3,,Weepinbell,,Kanto,I,
Pokedex #72,Tentacool,"Water, Poison",3,50,,Tentacruel,Kanto,I,
Pokedex #73,Tentacruel,"Water, Poison",3,,Tentacool,,Kanto,I,
Pokedex #74,Geodude,"Rock, Ground",1,25,,Graveler,Kanto,I,
Pokedex #75,Graveler,"Rock, Ground",1,100,Geodude,Golem,Kanto,I,
Pokedex #76,Golem,"Rock, Ground",1,,Graveler,,Kanto,I,
Pokedex #77,Ponyta,Fire,3,50,,Rapidash,Kanto,I,
Pokedex #78,Rapidash,Fire,3,,Ponyta,,Kanto,I,
Pokedex #79,Slowpoke,"Water, Psychic",3,50,,Slowbro,Kanto,I,
Pokedex #80,Slowbro,"Water, Psychic",3,,Slowpoke,,Kanto,I,
Pokedex #81,Magnemite,"Electric, Steel",3,25,,Magneton,Kanto,I,
Pokedex #82,Magneton,"Electric, Steel",3,,Magnemite,,Kanto,I,
Pokedex #83,Farfetch'd,"Normal, Flying",3,,,,Kanto,I,
Pokedex #84,Doduo,"Normal, Flying",3,50,,Dodrio,Kanto,I,
